Customer_ID,Last_Name,Credit Score,Country,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard?,IsActiveMember,Estimated Salary,ExitedFromBank?
15764866,Synnot,539,Germany,Female,43,3,116220.5,3,True,False,55803.96,True
15794056,Johnston,668,France,Female,46,2,0.0,3,True,False,89048.46,True
15596175,McIntosh,659,Germany,Male,67,6,117411.6,1,True,True,45071.09,True
15797219,Ifesinachi,635,France,Female,40,10,123497.58,1,True,False,131953.23,True
15772423,Liao,739,Germany,Male,54,8,126418.14,1,True,False,134420.75,True
15717398,Fielding,549,Spain,Female,39,7,0.0,1,False,False,81259.25,True
15619955,Bevington,733,Germany,Male,34,3,100337.96,3,True,False,48559.19,True
15694456,Toscani,756,France,Male,62,3,0.0,1,True,True,11199.04,True
15782210,K'ung,714,France,Male,46,1,0.0,1,True,False,152167.79,True
15643024,Huang,479,Germany,Male,35,4,138718.92,1,True,True,47251.79,True
15590241,Chuang,750,Spain,Female,34,9,112822.26,1,False,False,150401.53,True
15684173,Chang,687,Spain,Female,44,7,0.0,3,True,False,155853.52,True
15594898,Hewitt,731,France,Male,43,2,0.0,1,True,True,170034.95,True
15773972,Balashov,614,France,Male,50,4,137104.47,1,True,False,127166.49,True
15662736,Doyle,559,France,Male,49,2,147069.78,1,True,False,120540.83,True
15694408,Lung,749,France,Male,40,1,139290.41,1,True,False,182855.42,True
15736008,Hunter,644,France,Female,46,9,95441.27,1,True,False,108761.05,True
15728669,Knowles,584,Germany,Female,30,8,112013.81,1,True,False,177772.03,True
15697441,Hsueh,485,France,Male,29,7,182123.79,1,True,False,116828.51,True
15636624,Nwabugwu,805,Spain,Female,39,5,165272.13,1,True,False,14109.85,True
15807923,Young,716,Germany,Female,39,10,115301.31,1,True,False,43527.4,True
15745844,Kerr,642,Germany,Female,40,6,129502.49,2,False,True,86099.23,True
15661629,Ricci,522,Spain,Male,34,9,126436.29,1,True,False,174248.52,True
15696674,Robinson,643,Germany,Female,45,2,150842.93,1,False,True,2319.96,True
15583456,Gardiner,745,Germany,Male,45,10,117231.63,3,True,True,122381.02,True
15629677,Distefano,687,Spain,Female,39,2,0.0,3,False,False,188150.6,True
15573456,Cunningham,648,Spain,Male,46,9,127209.0,2,True,False,77405.95,True
15684548,Demidov,556,Spain,Male,38,8,0.0,2,False,False,417.41,True
15646372,Outhwaite,616,France,Female,66,1,135842.41,1,True,False,183840.51,True
15578045,Mitchell,538,Spain,Female,49,9,141434.04,1,False,False,173779.25,True
15801559,Chiang,693,Germany,Female,41,9,181461.48,3,True,True,187929.43,True
15720559,Heath,487,Germany,Female,61,5,110368.03,1,False,False,11384.45,True
15810418,T'ang,756,Germany,Female,60,3,115924.89,1,True,False,93524.19,True
15674551,Fitch,535,Germany,Male,40,7,111756.5,1,True,False,8128.32,True
15806467,Boyle,568,Germany,Male,40,1,99282.63,1,False,False,134600.94,True
15597602,Nwachinemelu,619,Germany,Male,57,3,137946.39,1,True,True,72467.99,True
15595039,Manna,545,Germany,Female,37,8,114754.08,1,True,False,136050.44,True
15787470,Parkinson,553,Spain,Male,47,3,116528.15,1,False,False,145704.19,True
15694860,Uspensky,675,France,Female,38,6,68065.8,1,False,False,138777.0,True
15707362,Yin,514,Germany,Male,43,1,95556.31,1,False,True,199273.98,True
15773792,Evans,662,France,Female,32,4,133950.37,1,True,True,48725.68,True
15593782,Brookes,816,Germany,Female,38,5,130878.75,3,True,False,71905.77,True
15683625,Hare,703,France,Male,37,1,149762.08,1,True,False,20629.4,True
15591986,Johnston,621,Germany,Male,46,6,141078.37,1,False,False,34580.8,True
15676519,George,615,Spain,Male,61,9,0.0,2,True,False,150227.85,True
15613772,Dalrymple,542,France,Male,39,3,135096.77,1,True,True,14353.43,True
15725679,Hsia,531,France,Female,47,6,0.0,1,False,False,194998.34,True
15585865,Westerberg,673,France,Female,38,2,170061.92,2,False,False,134901.34,True
15677020,Selezneva,570,France,Female,58,8,0.0,1,False,True,116503.92,True
15714485,Udinese,774,France,Male,60,5,85891.55,1,True,False,74135.48,True
15682048,Pisano,605,France,Female,51,3,136188.78,1,True,True,67110.59,True
15752081,Vassiliev,468,France,Female,56,10,0.0,3,False,True,62256.87,True
15775912,Mazzanti,698,France,Male,48,4,101238.24,2,False,True,177815.87,True
15671256,Macartney,850,France,Female,35,1,211774.31,1,True,False,188574.12,True
15653849,Lu,572,Germany,Female,48,3,152827.99,1,True,False,38411.79,True
15776780,He,608,France,Male,59,1,0.0,1,True,False,70649.64,True
15794142,Ferreira,564,Germany,Female,62,5,114931.35,3,False,True,18260.98,True
15762729,Ukaegbunam,745,Germany,Female,28,1,111071.36,1,True,False,73275.96,True
15705953,Kodilinyechukwu,721,Spain,Male,51,0,169312.13,1,True,False,109078.35,True
15802593,Little,504,France,Female,49,7,0.0,3,False,True,87822.14,True
15657284,Day,674,Germany,Male,47,6,106901.94,1,True,True,2079.2,True
15775318,Lu,590,Spain,Female,51,3,154962.99,3,False,True,191932.27,True
15634844,Miller,598,Germany,Male,41,3,91536.93,1,True,False,191468.78,True
15665956,Pendergrass,509,France,Female,46,1,0.0,1,True,False,71244.59,True
15651674,Billson,438,Spain,Female,54,2,0.0,1,False,False,191763.07,True
15730076,Osborne,651,France,Male,45,1,0.0,1,True,False,67740.08,True
15607312,Ch'ang,648,Spain,Female,49,10,0.0,2,True,True,159835.78,True
15737741,McKay,607,Spain,Female,33,2,108431.87,2,False,True,109291.39,True
15803689,Begum,647,Germany,Female,51,1,119741.77,2,False,False,54954.51,True
15718057,Onyinyechukwuka,760,France,Female,51,2,100946.71,1,False,False,179614.8,True
15722010,Zuyev,621,Spain,Male,53,9,170491.84,1,True,False,35588.07,True
15591047,Ma,519,Spain,Female,47,6,157296.02,2,False,False,147278.43,True
15788291,Okwuadigbo,713,Germany,Female,38,7,144606.22,1,True,True,56594.36,True
15637476,Alexandrova,683,Germany,Female,57,5,162448.69,1,False,False,9221.78,True
15683503,Hudson,601,France,Female,43,8,0.0,3,False,True,110916.15,True
15592387,Burke,566,France,Male,30,5,0.0,1,True,False,54926.51,True
15745295,Gether,727,Spain,Female,31,0,0.0,1,True,False,121751.04,True
15766575,Larionova,612,Germany,Female,62,8,140745.33,1,True,False,193437.89,True
15712403,McMillan,589,France,Female,61,1,0.0,1,True,False,61108.56,True
15811762,Pickering,583,Germany,Female,54,6,115988.86,1,True,False,57553.98,True
15738181,Douglas,850,France,Male,31,6,67996.23,2,False,False,50129.87,True
15784844,K'ung,752,Spain,Male,48,5,116060.08,1,True,False,156618.38,True
15640078,Chambers,660,Germany,Female,39,5,135134.99,1,True,False,173683.0,True
15698786,Marcelo,819,France,Female,39,9,133102.92,1,True,False,27046.46,True
15569807,Ejimofor,673,France,Female,34,8,42157.08,1,True,False,20598.59,True
15664610,Campbell,459,Germany,Male,48,4,133994.52,1,True,True,19287.06,True
15715142,Repina,739,Germany,Male,45,7,102703.62,1,False,True,147802.94,True
15600337,Dobie,661,Spain,Male,42,2,178820.91,1,False,False,29358.57,True
15579334,Watkins,769,Germany,Female,45,5,126674.81,1,True,False,124118.71,True
15802741,Mitchel,625,France,Female,51,7,136294.97,1,True,False,38867.46,True
15727299,Edgar,445,Spain,Male,62,1,64119.38,1,True,True,76569.64,True
15620204,Walker,543,Germany,Female,57,1,106138.33,2,True,True,120657.32,True
15580148,Welch,750,Germany,Male,40,5,168286.81,3,True,False,20451.99,True
15721658,Fleming,672,Spain,Female,56,2,209767.31,2,True,True,150694.42,True
15578761,Cunningham,459,Spain,Female,42,6,129634.25,2,True,True,177683.02,True
15612525,Preston,499,France,Female,57,1,0.0,1,False,False,131372.38,True
15744607,Martin,738,Germany,Male,43,9,121152.05,2,True,False,64166.7,True
15612966,Milani,545,Germany,Female,60,7,128981.07,1,False,True,176924.21,True
15641675,Kirillova,611,France,Female,49,2,88915.37,3,False,False,161435.02,True
15582741,Maclean,693,France,Female,35,5,124151.09,1,True,False,88705.14,True
15637876,Burns,663,Germany,Female,36,6,77253.5,1,False,False,35817.97,True
15672056,Kenenna,710,Germany,Male,43,2,140080.32,3,True,True,157908.19,True
15677921,Bobrov,720,Germany,Male,60,9,115920.62,2,False,False,157552.08,True
15685329,McKenzie,531,France,Female,63,1,114715.71,1,False,True,24506.95,True
15584091,Pitts,742,Germany,Female,36,2,129748.54,2,False,False,47271.61,True
15789158,Nikitina,636,Germany,Male,49,6,113599.74,2,True,False,158887.09,True
15712551,Shen,622,Germany,Female,58,7,116922.25,1,True,False,120415.61,True
15628936,Archer,692,Spain,Male,28,9,118945.09,1,False,False,16064.25,True
15571221,Bergamaschi,747,Germany,Male,58,7,116313.57,1,True,True,190696.35,True
15756026,Hooper,790,Spain,Female,46,9,0.0,1,False,False,14679.81,True
15775306,Ni,421,Germany,Male,28,8,122384.22,3,True,True,89017.38,True
15806438,Chiabuotu,580,Germany,Female,42,2,123331.36,1,False,False,103516.08,True
15757811,Lloyd,732,Spain,Female,69,9,137453.43,1,False,True,110932.24,True
15585888,Nwokezuike,553,Spain,Female,48,3,0.0,1,False,True,30730.95,True
15707567,Esposito,732,Germany,Male,50,6,145338.76,1,False,False,91936.1,True
15672012,Jen,773,Spain,Female,41,5,0.0,1,True,False,28266.9,True
15794048,Wan,667,Germany,Female,48,1,97133.92,2,False,False,113316.77,True
15693864,Iheanacho,567,Germany,Female,49,5,134956.02,1,True,False,93953.84,True
15809087,Landry,598,France,Male,64,1,0.0,2,True,False,195635.3,True
15807663,McGregor,667,France,Male,43,8,190227.46,1,True,False,97508.04,True
15809100,Nucci,548,France,Female,32,2,172448.77,1,True,False,188083.77,True
15756804,O'Loghlen,636,France,Female,48,1,170833.46,1,True,False,110510.28,True
15646810,Quinn,603,Germany,Male,44,6,108122.39,2,True,False,108488.33,True
15692750,McGregor,629,Germany,Female,45,7,129818.39,3,True,False,9217.55,True
15585362,Simmons,749,France,Female,60,6,0.0,1,True,False,17978.68,True
15571928,Fraser,679,France,Female,43,4,0.0,3,True,False,115136.51,True
15743007,Seabrook,643,France,Female,45,4,45144.43,1,True,False,60917.24,True
15772781,Ball,703,France,Female,51,3,0.0,3,True,True,77294.56,True
15669987,Sung,728,Germany,Female,35,8,125884.95,2,True,False,54359.02,True
15654700,Fallaci,523,France,Female,40,2,102967.41,1,True,False,128702.1,True
15642041,Burns,727,Germany,Male,40,1,93051.64,2,True,False,71865.31,True
15794580,Ch'en,599,France,Male,58,4,0.0,1,False,False,176407.15,True
15675964,Chukwukadibia,672,France,Female,45,9,0.0,1,True,True,92027.69,True
15724848,Oluchukwu,516,France,Female,46,1,104947.72,1,True,False,115789.25,True
15792328,James,475,France,Male,39,6,0.0,1,True,True,56999.9,True
15743411,Chiawuotu,609,Spain,Male,61,1,0.0,1,True,False,22447.85,True
15753337,Yeates,555,France,Male,51,5,0.0,3,True,False,189122.89,True
15737795,Scott,512,Spain,Male,36,1,0.0,1,False,True,135482.26,True
15613630,Tang,775,France,Male,52,8,109922.61,1,True,True,96823.32,True
15804586,Lin,376,France,Female,46,6,0.0,1,True,False,157333.69,True
15745324,Milani,599,Spain,Female,39,4,0.0,1,True,False,194273.2,True
15741336,Ejimofor,715,France,Female,38,5,118590.41,1,True,True,5684.17,True
15620981,Wickham,684,France,Female,48,3,73309.38,1,False,False,21228.34,True
15660429,Ch'in,665,Spain,Female,42,2,156371.61,2,False,True,156774.94,True
15731815,Nepean,529,Spain,Male,63,4,96134.11,3,True,False,108732.96,True
15580956,McNess,683,Germany,Female,43,4,115888.04,1,True,True,117349.19,True
15570060,Palerma,648,France,Female,43,8,132558.26,1,True,False,67046.83,True
15807008,McGregor,614,Germany,Female,35,6,128100.28,1,False,False,69454.24,True
15613749,Lees,569,Spain,Male,34,0,151839.26,1,True,False,102299.81,True
15681206,Hsing,722,France,Female,49,3,168197.66,1,True,False,140765.57,True
